Occurrence,Gamma,Tau
0.23091796401634300,-0.00018233663653232500,-0.35072479934053300
0.21222226230166200,-0.000150857107851942,-0.12494422640771300
0.22958658436973100,-9.28986466588888E-05,-0.3214129967253860
0.2172897732818480,-9.64844738918056E-05,-0.18752542096097500
0.22984834896298200,-0.0001476172200170250,-0.2590744391146930
0.23852439608497100,-0.00016669464044379000,-0.21080181213725600
0.22019122360345900,-0.0001189043904617530,-0.3159086766613930
0.2304803582226560,-0.0001717164662497340,-0.32849955946864800
0.22760224384147700,-0.0001922867838461670,-0.32830260115399100
0.23386073518082900,-0.00014298284559707100,-0.2618428838112510
0.23328895281146600,-0.00011999525858136300,-0.2524680899957780
0.23877757261962100,-0.0001634113142560540,-0.37584835998713100
0.2334996459887310,-0.00011590688130762000,-0.23912366115866100
0.23541847634746400,-0.00014715065847652700,-0.32831904318757
0.2298274418260840,-0.00011876933283740700,-0.26449528214786000
0.2208987716020430,-0.00011612103894641400,-0.3211975517753860
0.2275686833759220,-0.00013770447804018500,-0.21191500365273700
0.2184352160972270,-0.0001742098919329300,-0.2343576981722270
0.23225332065612800,-0.0001476769896143350,-0.39220477045701300
