#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   7.57 -0.13  1.53900  0.790 3.885  4.321 10.25  0.035 0.00 13.044 13.076 13.085 13.050 13.132 13.242 13.025 12.573 12.501 12.482  1.539 
 1   7.57 -0.07  0.79568 -0.614 3.687  4.648  8.95  0.028 0.00 15.255 15.350 16.091 15.274 15.033 14.911 15.960 13.854 13.333 13.259  0.796 
 1   7.57  0.05  1.58162  0.793 3.871  4.272  9.35  0.030 0.00 12.137 12.134 12.184 12.101 12.162 12.261 12.110 11.573 11.482 11.461  1.582 
 1   7.57  0.07  0.97611 -0.222 3.736  4.541  8.25  0.024 0.00 13.576 13.559 14.080 13.485 13.335 13.284 13.881 12.347 11.972 11.920  0.976 
 1   7.57  0.13  6.50791  3.323 4.253  3.887 11.70  0.037 0.98  7.470  9.232  8.877  9.281  9.591  9.867  9.008  9.493  9.594  9.643  6.508 
 1   7.57  0.29  0.79820 -0.665 3.669  4.628  8.60  0.026 0.00 15.033 15.182 16.070 15.104 14.816 14.664 16.006 13.559 12.994 12.908  0.798 
 1   7.57  0.39  0.99391 -0.204 3.734  4.520 10.55  0.036 0.00 15.830 15.810 16.378 15.727 15.573 15.522 16.178 14.577 14.211 14.154  0.994 
 1   7.59 -0.11  1.39587  0.596 3.849  4.327  9.90  0.033 0.00 13.180 13.179 13.293 13.139 13.159 13.232 13.200 12.505 12.367 12.345  1.396 
 1   7.59 -0.07  0.81188 -0.573 3.693  4.639  6.40  0.013 0.00 12.602 12.666 13.370 12.591 12.364 12.254 13.223 11.215 10.714 10.644  0.812 
 1   7.59  0.07  2.14363  1.335 3.975  4.279 10.20  0.034 0.00 11.633 11.879 11.677 11.895 12.104 12.273 11.705 11.728 11.758 11.749  2.144 
 1   7.59  0.11  0.92564 -0.342 3.718  4.565  9.10  0.029 0.00 14.725 14.738 15.344 14.661 14.480 14.405 15.153 13.424 13.002 12.941  0.926 
 1   7.61  0.05  0.72373 -0.826 3.654  4.685  6.55  0.014 0.00 13.384 13.588 14.540 13.519 13.195 13.016 14.522 11.875 11.252 11.161  0.724 
